id;curso;Area_the;setor;turno;grau;forma_evasao;ira;contagem_disciplinas;contagem_reprovacoes;evasao;proprep;
61554;Filosofia;AH;Setor de Ciências Humanas;M;Bacharelado;Abandono;0;10;5;1;0,5;0,328600864
17934;Engenharia de Bioprocessos e Biotecnologia;LS;Setor de Tecnologia;I;Bacharelado;Abandono;0,0645;11;11;1;1;0,328617588
38903;Agroecologia;LS;Setor Litoral;M;Tecnológico;Abandono;0;21;9;1;0,428571429;0,328620958
13965;Agronomia;LS;Setor de Ciências Agrárias;I;Bacharelado;Formatura;0,7735;108;0;0;0;0,328621653
16993;Produção Cênica;AH;Setor de Educação Profissional e Tecnológica;N;Tecnológico;Formatura;0,8003;84;5;0;0,05952381;0,328643059
51926;Química;PH;Setor de Ciências Exatas;I;Bacharelado;Abandono;0,36;9;5;1;0,555555556;0,328653815
51473;Engenharia Civil;ET;Setor de Tecnologia;I;Bacharelado;Sem evasão;0,5746;105;12;0;0,114285714;0,328669287
46015;Farmácia;CL;Setor de Ciências da Saúde;I;Bacharelado;Formatura;0,8347;135;0;0;0;0,328674328
75756;Engenharia de Produção;ET;Setor de Tecnologia;I;Bacharelado;Sem evasão;0,7864;36;0;0;0;0,32868756
9419;Filosofia;AH;Setor de Ciências Humanas;N;ABI;Abandono;0,0325;10;4;1;0,4;0,328692196
27588;Administração;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,6806;55;1;0;0,018181818;0,328698679
22759;Educação Física;LS;Setor de Ciências Biológicas;I;Bacharelado;Abandono;0,4116;34;12;1;0,352941176;0,328718879
6398;Ciências Contábeis;BE;Setor de Ciências Sociais Aplicadas;N;Bacharelado;Formatura;0,5208;61;6;0;0,098360656;0,328720926
9712;Análise e Desenvolvimento de Sistemas;CS;Setor de Educação Profissional e Tecnológica;N;Tecnológico;Formatura;0,9139;48;0;0;0;0,328728825
73262;Medicina;CL;Setor de Ciências da Saúde;I;Bacharelado;Sem evasão;0,8693;83;0;0;0;0,328734332
66379;Estatística;PH;Setor de Ciências Exatas;N;Bacharelado;Sem evasão;0,4392;17;6;0;0,352941176;0,328737454
20849;Filosofia;AH;Setor de Ciências Humanas;M;ABI;Abandono;0,28;5;1;1;0,2;0,328746967
11862;História - Memória e Imagem;AH;Setor de Ciências Humanas;N;Bacharelado;Formatura;0,7908;46;2;0;0,043478261;0,328772918
